ID;OID;TYPE;NAME;LEVEL;PATIENT_INFO;SHELF_LIFE;STORAGE_TYPE;EXTENDED_LIFE;UNLIMITED_LIFE;MO_SIGN;FORMAT;START_DATE;END_DATE;IMPLEMENTATION_GUIDE;GIT_LINK;SHOW_PATIENT;IS_ONLINE;DAYS_COUNT;SERIES_REQUIRED
174;174;6;"Протокол инструментального исследования (CDA) Редакция 4";3;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";2;"28.08.2023";;"https://portal.egisz.rosminzdrav.ru/materials/4429";"1.2.643.5.1.13.13.15.17.4";"Да";"Нет";;"Нет"
108;108;352;"Уведомление о причинах возврата направления на медико-социальную экспертизу (CDA) Редакция 1";3;"Обязательны с указанием СНИЛС";"25 лет";"Выдается МО";"Да";"Да";"Да";2;"01.01.2022";;"https://portal.egisz.rosminzdrav.ru/materials/4017";"1.2.643.5.1.13.13.15.7.1";"Нет";"Нет";;"Нет"
247;247;56;"Медицинская справка (для выезжающего за границу) (CDA) Редакция 3";3;"Обязательны с указанием СНИЛС";"25 лет";"Выдается МО";"Да";"Да";"Да";2;"10.06.2024";;"https://portal.egisz.rosminzdrav.ru/materials/4635";"1.2.643.5.1.13.13.15.48.3";"Нет";"Нет";;"Нет"
252;252;90;"Справка о состоянии на учете в диспансере (CDA) Редакция 3";3;"Обязательны с указанием СНИЛС";"25 лет";"Выдается МО";"Да";"Да";"Да";2;"24.06.2024";;"https://portal.egisz.rosminzdrav.ru/materials/4701";"1.2.643.5.1.13.13.15.57.3";"Нет";"Нет";;"Нет"
250;250;68;"Заключение о результатах медицинского освидетельствования граждан, намеревающихся усыновить (удочерить), взять под опеку (попечительство), в приемную или патронатную семью детей-сирот и детей, оставшихся без попечения родителей (CDA) Редакция 2";3;"Обязательны";"25 лет";"Выдается МО";"Да";"Да";"Да";2;"24.06.2024";;"https://portal.egisz.rosminzdrav.ru/materials/4709";"1.2.643.5.1.13.13.15.51.2";"Нет";"Нет";;"Нет"
249;249;67;"Справка об отсутствии медицинских противопоказаний для работы с использованием сведений, составляющих государственную тайну (CDA) Редакция 2";3;"Обязательны";"25 лет";"Выдается МО";"Да";"Да";"Да";2;"24.06.2024";;"https://portal.egisz.rosminzdrav.ru/materials/4707";"1.2.643.5.1.13.13.15.50.2";"Нет";"Нет";;"Нет"
246;246;11;"Протокол трансфузии (CDA) Редакция 5";3;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";2;"28.06.2024";;"https://portal.egisz.rosminzdrav.ru/materials/4711";"1.2.643.5.1.13.13.15.24.5";"Нет";"Нет";;"Нет"
257;257;509;"Выписка из протокола решения врачебной комиссии для направления на медико-социальную экспертизу (CDA) Редакция 1";3;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";2;"12.08.2024";;"https://portal.egisz.rosminzdrav.ru/materials/4727";"1.2.643.5.1.13.13.15.118.1";"Нет";"Нет";;"Нет"
256;256;508;"Заключение по результатам микробиологического исследования (CDA) Редакция 1";3;"Обязательны с указанием СНИЛС";"25 лет";"Выдается МО";"Да";"Да";"Да";2;"29.07.2024";;"https://portal.egisz.rosminzdrav.ru/materials/4723";"1.2.643.5.1.13.13.15.120.1";"Нет";"Нет";;"Нет"
144;144;369;"Заключение врачебной комиссии медицинской организации, оказывающей лечебно-профилактическую помощь, о нуждаемости ветерана в обеспечении протезами (кроме зубных протезов), протезно-ортопедическими изделиями (CDA) Редакция 1";3;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";2;"30.10.2022";;"https://portal.egisz.rosminzdrav.ru/materials/4277";"1.2.643.5.1.13.13.15.65.1";"Нет";"Нет";;"Нет"
